id,name,code,sign,company_id/id,info,parent_id/id,sequence,tax_percentage,tax_code_type
_account_tax_code_your_company,Your Company,,1,base.main_company,,,0,0,
_account_tax_code_tax_bases,Tax Bases,,1,base.main_company,,_account_tax_code_your_company,0,0,
_account_tax_code_tax_balance_to_pay,Tax Balance to Pay,,1,base.main_company,,_account_tax_code_your_company,0,0,
_account_tax_code_tax_paid,Tax Paid,,1,base.main_company,,_account_tax_code_tax_balance_to_pay,0,0,
_account_tax_code_base_of_taxable_sales,Base of Taxable Sales,,1,base.main_company,,_account_tax_code_tax_bases,0,0,
_account_tax_code_tax_received,Tax Received,,-1,base.main_company,,_account_tax_code_tax_balance_to_pay,0,0,
_account_tax_code_taxable_purchases_base,Taxable Purchases Base,,1,base.main_company,,_account_tax_code_tax_bases,0,0,
_account_tax_code_ajp,AJP - Input Tax: Bad debt & Other Adjustment (6%),AJP,1,base.main_company,,_account_tax_code_tax_paid,0,6,Input Tax
_account_tax_code_ajpb,AJPB -  Input Tax: Bad debt & Other Adjustment Base (6%),AJPB,1,base.main_company,,_account_tax_code_taxable_purchases_base,0,6,Base Amount
_account_tax_code_ajs,AJS - Output Tax: Bad debt & Other Adjustment (6%),AJS,1,base.main_company,,_account_tax_code_tax_received,0,6,Output Tax
_account_tax_code_ajsb,AJSB -  Output Tax: Bad debt & Other Adjustment Base (6%),AJSB,1,base.main_company,,_account_tax_code_base_of_taxable_sales,0,6,Base Amount
_account_tax_code_bl,BL - Blocked Input Tax (6%),BL,1,base.main_company,,_account_tax_code_tax_paid,0,6,Block Input Tax
_account_tax_code_blb,BLB - Blocked Input Tax Base (6%),BLB,1,base.main_company,,_account_tax_code_taxable_purchases_base,0,6,Base Amount
_account_tax_code_ds,DS - Deemed Supplies output tax (6%),DS,1,base.main_company,,_account_tax_code_tax_received,0,6,Output Tax
_account_tax_code_dsb,DSB - Deemed Supplies output tax Base (6%),DSB,1,base.main_company,,_account_tax_code_base_of_taxable_sales,0,6,Base Amount
_account_tax_code_ep,EP - Exempt Purchases (0%),EP,1,base.main_company,,_account_tax_code_tax_paid,0,0,Input Tax
_account_tax_code_epb,EPB - Exempt Purchases Base (0%),EPB,1,base.main_company,,_account_tax_code_taxable_purchases_base,0,0,Base Amount
_account_tax_code_es,ES - Exempt Supplies (0%),ES,1,base.main_company,,_account_tax_code_tax_received,0,0,Output Tax
_account_tax_code_es43,ES43 - Incidental Exempt Supplies (0%),ES43,1,base.main_company,,_account_tax_code_tax_received,0,0,Output Tax
_account_tax_code_es43b,ES43B - Incidental Exempt Supplies Base (0%),ES43B,1,base.main_company,,_account_tax_code_base_of_taxable_sales,0,0,Base Amount
_account_tax_code_esb,ESB - Exempt Supplies Base (0%),ESB,1,base.main_company,,_account_tax_code_base_of_taxable_sales,0,0,Base Amount
_account_tax_code_gp,GP - Group Registration Purchases (0%),GP,1,base.main_company,,_account_tax_code_tax_paid,0,0,Input Tax
_account_tax_code_gpb,GPB - Group Registration Purchases Base (0%),GPB,1,base.main_company,,_account_tax_code_taxable_purchases_base,0,0,Base Amount
_account_tax_code_gs,GS - Group Registration Supplies (0%),GS,1,base.main_company,,_account_tax_code_tax_received,0,0,Output Tax
_account_tax_code_gsb,GSB - Group Registration Supplies Base (0%),GSB,1,base.main_company,,_account_tax_code_base_of_taxable_sales,0,0,Base Amount
_account_tax_code_im,IM - Imported Goods (6%),IM,1,base.main_company,,_account_tax_code_tax_paid,0,6,Input Tax
_account_tax_code_imb,IMB - Imported Goods Base (6%),IMB,1,base.main_company,,_account_tax_code_taxable_purchases_base,0,6,Base Amount
